Sampler:TPESampler
(34, 299, 5), 46.0
(44, 245, 241), 64.0
(12, 269, 119), 50.0
(7, 283, 78), 40.0
(30, 252, 12), 72.0
(264, 276, 279), 65.0
(28, 292, 34), 46.0
(5, 0, 128), 60.0
(14, 95, 22), 68.0
(22, 264, 103), 50.0
(86, 293, 29), 48.0
(34, 228, 14), 52.0
(168, 240, 19), 54.0
(17, 256, 123), 42.0
(11, 38, 22), 38.0
(249, 263, 46), 54.0
(39, 59, 82), 62.0
(35, 32, 25), 50.0
(28, 26, 28), None
(39, 245, 39), None
(52, 248, 144), 46.0
(121, 283, 99), 44.0
(13, 28, 135), 64.0
(23, 282, 110), 58.0
(21, 290, 32), 38.0
(6, 269, 49), 42.0
(74, 296, 43), 38.0
(33, 237, 42), 46.0
(226, 265, 116), 72.0
(20, 299, 35), 38.0
(65, 259, 250), 42.0
(47, 296, 168), 46.0
(27, 272, 257), 46.0
(0, 221, 127), 75.0
(42, 233, 122), 44.0
(27, 37, 22), 38.0
(31, 242, 233), 40.0
(37, 17, 113), 74.0
(299, 37, 92), 58.0
(26, 44, 34), 63.0
Sampler:BoTorchSampler
(257, 149, 174), 64.0
(157, 210, 13), 52.0
(233, 138, 57), 72.0
(184, 168, 191), 56.0
(75, 38, 211), 70.0
(217, 275, 127), 48.0
(89, 183, 107), 75.0
(130, 127, 292), 44.0
(78, 275, 20), 40.0
(121, 33, 179), 52.0
(139, 262, 1), 38.0
(156, 255, 0), 41.0
(124, 24, 0), 85.0
(121, 276, 0), 46.0
(172, 287, 48), 46.0
(164, 191, 13), 42.0
(169, 209, 265), 58.0
(257, 280, 0), 38.0
(18, 219, 0), 50.0
(3, 200, 0), 61.0
(182, 32, 0), 63.0
(220, 264, 0), 73.0
(79, 111, 0), 52.0
(83, 175, 0), 63.0
(79, 158, 0), 75.0
(71, 147, 0), 59.0
(72, 181, 0), 65.0
(72, 20, 0), 77.0
(63, 161, 0), 65.0
(282, 297, 21), 44.0
(136, 269, 74), 60.0
(55, 226, 0), 43.0
(41, 272, 0), 43.0
(78, 255, 0), 38.0
(92, 251, 0), 36.0
(111, 243, 0), 55.0
(58, 146, 0), 67.0
(62, 155, 0), 77.0
(67, 205, 0), 67.0
(69, 239, 0), 50.0
(71, 225, 0), 53.0
(76, 294, 0), 40.0
(272, 244, 100), 74.0
(70, 275, 0), 46.0
(168, 90, 296), 49.0
(42, 64, 54), 72.0
(39, 159, 54), 79.0
(1, 49, 0), 79.0
(0, 67, 0), None
(0, 280, 0), None
(0, 219, 0), None
(0, 234, 0), None
(0, 32, 0), None
(0, 292, 0), None
(0, 297, 0), None
(0, 102, 0), None
(0, 0, 0), None
(0, 113, 0), None
(0, 263, 0), None
(0, 165, 0), None
(0, 43, 0), None
(0, 238, 0), None
(0, 225, 0), None
(0, 90, 0), None
(0, 228, 0), None
(0, 182, 0), None
(0, 181, 0), None
(0, 160, 0), None
(0, 75, 0), None
(0, 134, 0), None
(0, 136, 0), None
(0, 207, 0), None
(0, 261, 0), None
(0, 89, 0), None
(0, 21, 0), None
(0, 61, 0), None
(0, 41, 0), None
(0, 133, 0), None
(0, 76, 0), None
(0, 195, 0), None
(0, 193, 0), None
(0, 101, 0), None
(0, 198, 0), None
(0, 203, 0), None
(0, 184, 0), None
(0, 22, 0), None
(0, 114, 0), None
(0, 253, 0), None
(0, 16, 0), None
(0, 106, 0), None
(0, 166, 0), None
(0, 208, 0), None
(0, 74, 0), None
(0, 18, 0), None
(0, 243, 0), None
(0, 161, 0), None
(0, 57, 0), None
(0, 242, 0), None
(0, 1, 0), None
(0, 235, 0), None
(0, 205, 0), None
(0, 93, 0), None
(0, 162, 0), None
(0, 281, 0), None
(0, 87, 0), None
(0, 295, 0), None
(0, 217, 0), None
(0, 46, 0), None
(0, 35, 0), None
(0, 5, 0), None
(0, 211, 0), None
(0, 272, 0), None
(0, 250, 0), None
(0, 174, 0), None
(0, 268, 0), None
(0, 167, 0), None
(0, 262, 0), None
(0, 122, 0), None
(0, 266, 0), None
(0, 236, 0), None
(0, 142, 0), None
(0, 130, 0), None
(0, 27, 0), None
(0, 97, 0), None
(0, 291, 0), None
(0, 204, 0), None
(0, 273, 0), None
(0, 126, 0), None
(0, 248, 0), None
(0, 251, 0), None
(0, 62, 0), None
(0, 283, 0), None
(0, 191, 0), None
(0, 48, 0), None
(0, 55, 0), None
(0, 112, 0), None
(0, 25, 0), None
(0, 140, 0), None
(0, 118, 0), None
(0, 124, 0), None
(0, 39, 0), None
(0, 279, 0), None
(0, 223, 0), None
(0, 65, 0), None
(0, 72, 0), None
(0, 271, 0), None
(0, 194, 0), None
(0, 240, 0), None
(0, 3, 0), None
(0, 276, 0), None
(0, 246, 0), None
(0, 66, 0), None
(0, 117, 0), None
(0, 71, 0), None
(0, 109, 0), None
(0, 282, 0), None
(0, 144, 0), None
(0, 213, 0), None
(0, 255, 0), None
(0, 177, 0), None
(0, 244, 0), None
(0, 52, 0), None
(0, 58, 0), None
(0, 148, 0), None
(0, 164, 0), None
(0, 221, 0), None
(0, 92, 0), None
(0, 186, 0), None
(0, 23, 0), None
(0, 212, 0), None
(0, 154, 0), None
(0, 256, 0), None
(0, 131, 0), None
(0, 285, 0), None
(0, 143, 0), None
(0, 69, 0), None
(0, 269, 0), None
(0, 215, 0), None
(0, 14, 0), None
(0, 299, 0), None
(0, 290, 0), None
(0, 137, 0), None
(0, 197, 0), None
(0, 226, 0), None
(0, 168, 0), None
(0, 230, 0), None
(0, 179, 0), None
(0, 20, 0), None
(0, 169, 0), None
(0, 172, 0), None
(0, 201, 0), None
(0, 47, 0), None
(0, 7, 0), None
(0, 12, 0), None
(0, 153, 0), None
(0, 200, 0), None
(0, 94, 0), None
(0, 80, 0), None
(0, 60, 0), None
(0, 123, 0), None
(0, 199, 0), None
(0, 196, 0), None
(0, 19, 0), None
(0, 26, 0), None
(0, 296, 0), None
(0, 11, 0), None
(0, 56, 0), None
(0, 214, 0), None
(0, 141, 0), None
(0, 29, 0), None
(0, 176, 0), None
(0, 258, 0), None
(0, 249, 0), None
(0, 237, 0), None
(0, 36, 0), None
(0, 30, 0), None
(0, 190, 0), None
(0, 125, 0), None
(0, 95, 0), None
(0, 31, 0), None
(0, 233, 0), None
(0, 115, 0), None
(0, 188, 0), None
(0, 183, 0), None
(0, 70, 0), None
(0, 119, 0), None
(0, 145, 0), None
(0, 84, 0), None
(0, 231, 0), None
(0, 185, 0), None
(0, 51, 0), None
(0, 229, 0), None
(0, 163, 0), None
(0, 265, 0), None
(0, 155, 0), None
(0, 85, 0), None
(0, 45, 0), None
(0, 111, 0), None
(0, 146, 0), None
(0, 178, 0), None
(0, 206, 0), None
(0, 260, 0), None
(0, 68, 0), None
(0, 210, 0), None
(0, 267, 0), None
(0, 4, 0), None
(0, 232, 0), None
(0, 63, 0), None
(0, 49, 0), None
(0, 149, 0), None
(0, 275, 0), None
(0, 180, 0), None
(0, 254, 0), None
(0, 257, 0), None
(0, 156, 0), None
(0, 6, 0), None
(0, 286, 0), None
(0, 78, 0), None
(0, 220, 0), None
(0, 59, 0), None
(0, 17, 0), None
(0, 202, 0), None
(0, 278, 0), None
(0, 64, 0), None
(0, 28, 0), None
(0, 274, 0), None
(0, 38, 0), None
(0, 270, 0), None
(0, 135, 0), None
(134, 297, 0), 46.0
(0, 245, 0), None
(0, 73, 0), None
(0, 170, 0), None
(0, 152, 0), None
(0, 44, 0), None
(0, 227, 0), None
(0, 150, 0), None
(0, 259, 0), None
(0, 37, 0), None
(0, 218, 0), None
(0, 108, 0), None
(0, 54, 0), None
(0, 34, 0), None
(0, 77, 0), None
(0, 40, 0), None
(0, 99, 0), None
(0, 189, 0), None
(0, 120, 0), None
Sampler:CmaEsSampler
(207, 74, 176), 50.0
(101, 112, 140), 60.0
(194, 170, 152), 54.0
(155, 89, 184), 56.0
(208, 123, 117), 58.0
(209, 222, 149), 46.0
(212, 142, 62), 42.0
(241, 196, 200), 68.0
(298, 144, 63), 44.0
(229, 201, 42), 68.0
(134, 201, 215), 46.0
(205, 234, 201), 66.0
(234, 169, 59), 54.0
(201, 190, 121), 68.0
(197, 199, 107), 69.0
(285, 267, 109), 49.0
(239, 183, 159), 56.0
(148, 198, 108), 34.0
(210, 107, 58), 44.0
(297, 165, 121), 64.0
(216, 101, 90), 50.0
(205, 214, 132), 48.0
(124, 247, 67), 66.0
(116, 183, 136), 38.0
(123, 189, 114), 56.0
(190, 124, 57), 56.0
(189, 223, 112), 62.0
(172, 140, 109), 58.0
(108, 227, 57), 40.0
(271, 158, 139), 63.0
(127, 212, 68), 48.0
(152, 221, 102), 54.0
(85, 140, 82), 76.0
(84, 196, 74), 52.0
(18, 119, 168), 52.0
(59, 169, 166), 60.0
(58, 241, 96), 70.0
(152, 173, 35), 44.0
(81, 196, 65), 52.0
(62, 156, 162), 42.0
(78, 222, 38), 54.0
(165, 146, 101), 80.0
(195, 149, 135), 52.0
(50, 178, 146), 52.0
(81, 196, 81), None
(222, 163, 89), 62.0
(96, 157, 171), 68.0
(113, 151, 160), 56.0
(114, 155, 132), 56.0
(125, 167, 85), 72.0
(124, 155, 99), 71.0
(60, 179, 118), 38.0
(42, 120, 107), 78.0
(59, 159, 126), 50.0
(88, 142, 149), 42.0
(107, 182, 125), 81.0
(55, 111, 212), 70.0
(116, 195, 76), 52.0
(66, 179, 157), 56.0
(89, 153, 103), 62.0
(23, 168, 152), 60.0
(97, 196, 134), 72.0
(60, 142, 136), 50.0
(4, 157, 160), 52.0
(60, 174, 143), 46.0
(48, 169, 154), 40.0
(50, 168, 127), 52.0
(43, 151, 149), 68.0
(23, 170, 168), 58.0
(18, 190, 148), 50.0
(50, 158, 183), 54.0
(7, 153, 170), 46.0
(54, 165, 122), 52.0
(60, 154, 168), 58.0
(64, 183, 159), 40.0
(85, 185, 80), 68.0
(19, 150, 184), 56.0
(6, 171, 164), 48.0
(87, 180, 111), 76.0
(48, 174, 159), 50.0
(22, 188, 123), 62.0
(28, 150, 166), 50.0
(25, 161, 189), 52.0
(80, 137, 127), 54.0
(31, 192, 150), 46.0
(44, 170, 173), 66.0
(31, 193, 176), 52.0
(55, 175, 133), 48.0
(15, 187, 143), 50.0
(33, 162, 140), 72.0
(38, 166, 148), 64.0
(56, 184, 130), 62.0
(56, 197, 162), 36.0
(42, 196, 142), 40.0
(133, 187, 132), 64.0
(84, 185, 138), 40.0
(45, 204, 134), 44.0
(23, 204, 136), 38.0
(22, 183, 148), 52.0
(26, 169, 173), 46.0
(45, 191, 141), 48.0
(53, 171, 146), 48.0
(28, 183, 145), 62.0
(20, 211, 129), 52.0
(25, 208, 109), 64.0
(53, 197, 128), 50.0
(36, 204, 110), 66.0
(38, 190, 149), 50.0
(15, 184, 158), 44.0
(21, 182, 141), 48.0
(60, 181, 124), 73.0
(36, 212, 152), 56.0
(55, 183, 140), 60.0
(23, 198, 159), 51.0
(23, 186, 137), 44.0
(35, 170, 169), 56.0
(32, 192, 154), 66.0
(14, 193, 160), 42.0
(18, 180, 154), 58.0
(34, 186, 138), 46.0
(12, 175, 141), 46.0
(23, 190, 156), 52.0
(47, 185, 166), 50.0
(9, 193, 166), 42.0
(15, 201, 141), 44.0
(38, 180, 166), 60.0
(83, 187, 134), 54.0
(24, 187, 158), 42.0
(21, 201, 152), 50.0
(27, 196, 169), 44.0
(34, 170, 170), None
(23, 189, 135), 54.0
(18, 190, 147), 54.0
(56, 201, 147), 66.0
(10, 205, 154), 44.0
(26, 184, 161), 80.0
(13, 209, 154), 46.0
(4, 192, 143), 44.0
